extId,Country,District,Ward,Village,Hamlet
CHT,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Chitequeteque
CHR,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Chiverano
CHB,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Chizimba
CHG,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Chunga
CIM,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Cimento
COC,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Cocorico
CUN,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Cunhanhassa
DAN,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Dande
DAA,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Danhau
DOM,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Dombe/Balame
EDU,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Eduardo Mondlane
FOR,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Forca da Mudanca
GAL,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Gale
GON,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Gonda
JOS,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Josina Machel
LIB,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Liberdade A
LI ,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Liberdade B
LUT,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Luta Continua
MAB,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Magamba
MAL,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Malulo
WGQ,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Mangala
MAZ,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Mazembe
MIF,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Mifarinha
MIG,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Migoa
MOC,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Mocha
MUG,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Mugurrumba Sede
MUL,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Mulaira
MUR,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Muriwa
MUT,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Muto
NDI,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Ndima Mangaze
NHA,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Nhalumbanda
