list_name,name,label::Portuguese,label::Swahili,country,region,district,ward,village,hamlet,code
hamlet,Chiurine,Chiurine,Chiurine,Mozambique,Zambezia,Mopeia,Campo | Luala,Chiurine,Chiurine,CHR
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Chiurine,Outro,NA
hamlet,Lima A,Lima A,Lima A,Mozambique,Zambezia,Mopeia,Campo | Luala,Lima,Lima A,LMA
hamlet,Lima B,Lima B,Lima B,Mozambique,Zambezia,Mopeia,Campo | Luala,Lima,Lima B,LMB
hamlet,Namitangurine,Namitangurine,Namitangurine,Mozambique,Zambezia,Mopeia,Campo | Luala,Lima,Namitangurine,NNN
hamlet,Nhamazemba,Nhamazemba,Nhamazemba,Mozambique,Zambezia,Mopeia,Campo | Luala,Lima,Nhamazemba,NZZ
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Lima,Outro,NA
hamlet,1 de Junho,1 de Junho,1 de Junho,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,1 de Junho,DEH
hamlet,1 de Maio,1 de Maio,1 de Maio,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,1 de Maio,XMM
hamlet,25 de Junho,25 de Junho,25 de Junho,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,25 de Junho,VVJ
hamlet,3 de Fevereiro,3 de Fevereiro,3 de Fevereiro,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,3 de Fevereiro,RFX
hamlet,3 de Marco,3 de Marco,3 de Marco,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,3 de Marco,ADM
hamlet,7 de Abril B,7 de Abril B,7 de Abril B,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,7 de Abril B,AAB
hamlet,Acordos de Lusaka,Acordos de Lusaka,Acordos de Lusaka,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Acordos de Lusaka,LSX
hamlet,Ceta A,Ceta A,Ceta A,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Ceta A,CTA
hamlet,Ceta B,Ceta B,Ceta B,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Ceta B,CTB
hamlet,Cuerelo A,Cuerelo A,Cuerelo A,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Cuerelo A,CXA
hamlet,Cuerelo B,Cuerelo B,Cuerelo B,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Cuerelo B,CRB
hamlet,Julius Nyerere,Julius Nyerere,Julius Nyerere,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Julius Nyerere,JJJ
hamlet,Liberdade,Liberdade,Liberdade,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Liberdade,LRD
hamlet,Mauia,Mauia,Mauia,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Mauia,MAU
hamlet,Mirrongone,Mirrongone,Mirrongone,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Mirrongone,MIR
hamlet,Mudiba,Mudiba,Mudiba,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Mudiba,MUD
hamlet,Nasarone,Nasarone,Nasarone,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Nasarone,NAS
hamlet,Paz,Paz,Paz,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Paz,PZX
hamlet,Samora Machel,Samora Machel,Samora Machel,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Samora Machel,XSO
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Lua lua,Outro,NA
hamlet,Nhamirimba,Nhamirimba,Nhamirimba,Mozambique,Zambezia,Mopeia,Campo | Luala,Luala,Nhamirimba,NXX
hamlet,Simogo,Simogo,Simogo,Mozambique,Zambezia,Mopeia,Campo | Luala,Luala,Simogo,SMG
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Luala,Outro,NA
hamlet,Mirebe,Mirebe,Mirebe,Mozambique,Zambezia,Mopeia,Campo | Luala,Mpiaeca,Mirebe,MRX
